0-3|Kaleb's Favor|Common|Spell|2|{F}|True|False|False|False|False|images/set0/Kaleb's_Favor.png|1
0-4|Blazing Renegade|Common|Unit|2|{F}|True|False|False|False|False|images/set0/Blazing_Renegade.png|1
0-6|Flash Fire|Uncommon|Spell|5|{F}|True|False|False|False|False|images/set0/Flash_Fire.png|1
0-9|Silence|Uncommon|Spell|1|{T}|False|True|False|False|False|images/set0/Silence.png|1
0-11|Talir's Favored|Common|Unit|2|{T}|False|True|False|False|False|images/set0/Talir's_Favored.png|1
0-14|Timekeeper|Uncommon|Unit|4|{T}|False|True|False|False|False|images/set0/Timekeeper.png|1
0-15|Oasis Sanctuary|Common|Spell|3|{T}|False|True|False|False|False|images/set0/Oasis_Sanctuary.png|1
0-18|Rolant's Favor|Common|Spell|2|{J}|False|False|True|False|False|images/set0/Rolant's_Favor.png|1
0-21|Mantle of Justice|Uncommon|Weapon|4|{J}|False|False|True|False|False|images/set0/Mantle_of_Justice.png|1
0-24|Eilyn's Favor|Common|Spell|2|{P}|False|False|False|True|False|images/set0/Eilyn's_Favor.png|1
0-27|Thunderbird|Uncommon|Unit|3|{P}|False|False|False|True|False|images/set0/Thunderbird.png|1
0-30|Primal Incarnation|Uncommon|Unit|5|{P}|False|False|False|True|False|images/set0/Primal_Incarnation.png|1
0-33|Vampire Bat|Common|Unit|2|{S}|False|False|False|False|True|images/set0/Vampire_Bat.png|1
0-35|Vara's Favor|Common|Spell|2|{S}|False|False|False|False|True|images/set0/Vara's_Favor.png|1
0-36|Devouring Shadow|Uncommon|Spell|3|{S}|False|False|False|False|True|images/set0/Devouring_Shadow.png|1
0-51|Seat of Order|Uncommon|Power|0|{J}{P}|False|False|True|True|False|images/set0/Seat_of_Order.png|1
0-53|Seat of Fury|Uncommon|Power|0|{F}{P}|True|False|False|True|False|images/set0/Seat_of_Fury.png|1
0-54|Seat of Impulse|Uncommon|Power|0|{F}{T}|True|True|False|False|False|images/set0/Seat_of_Impulse.png|1
0-55|Seat of Vengeance|Uncommon|Power|0|{J}{S}|False|False|True|False|True|images/set0/Seat_of_Vengeance.png|1
0-56|Seat of Glory|Uncommon|Power|0|{F}{J}|True|False|True|False|False|images/set0/Seat_of_Glory.png|1
0-58|Seat of Progress|Uncommon|Power|0|{T}{J}|False|True|True|False|False|images/set0/Seat_of_Progress.png|1
0-60|Seat of Chaos|Uncommon|Power|0|{F}{S}|True|False|False|False|True|images/set0/Seat_of_Chaos.png|1
0-61|Seat of Mystery|Uncommon|Power|0|{T}{S}|False|True|False|False|True|images/set0/Seat_of_Mystery.png|1
0-62|Seat of Cunning|Uncommon|Power|0|{P}{S}|False|False|False|True|True|images/set0/Seat_of_Cunning.png|1
0-63|Seat of Wisdom|Uncommon|Power|0|{T}{P}|False|True|False|True|False|images/set0/Seat_of_Wisdom.png|1
1-Firebomb|Firebomb|None|Fast Spell|1|{F}|True|False|False|False|False|images/set1/Firebomb.png|1
1-Grenadin|Grenadin|None|Unit|1|{F}|True|False|False|False|False|images/set1/Grenadin.png|1
1-Iron Sword|Iron Sword|None|Weapon|1||False|False|False|False|False|images/set1/Iron_Sword.png|1
1-Magmahound|Magmahound|None|Unit|5|{F}|True|False|False|False|False|images/set1/Magmahound.png|1
1-Wisp|Wisp|None|Unit|1|{T}|False|True|False|False|False|images/set1/Wisp.png|1
1-Rhinarc|Rhinarc|None|Unit|5|{T}|False|True|False|False|False|images/set1/Rhinarc.png|1
1-Sentinel|Sentinel|None|Unit|5|{T}|False|True|False|False|False|images/set1/Sentinel.png|1
1-Owl|Owl|None|Unit|4|{J}|False|False|True|False|False|images/set1/Owl.png|1
1-Gemblade|Gemblade|None|Weapon|5|{J}|False|False|True|False|False|images/set1/Gemblade.png|1
1-Frog|Frog|None|Unit|0||False|False|False|False|False|images/set1/Frog.png|1
1-Snowball|Snowball|None|Spell|1|{P}|False|False|False|True|False|images/set1/Snowball.png|1
1-Pig|Pig|None|Unit|2||False|False|False|False|False|images/set1/Pig.png|1
1-Serpent Hatchling|Serpent Hatchling|None|Unit|2|{P}|False|False|False|True|False|images/set1/Serpent_Hatchling.png|1
1-Sky Serpent|Sky Serpent|None|Unit|2|{P}{P}{P}|False|False|False|True|False|images/set1/Sky_Serpent.png|1
1-Carnosaur|Carnosaur|None|Unit|5||False|False|False|False|False|images/set1/Carnosaur.png|1
1-Stormdancer|Stormdancer|None|Unit|5|{P}|False|False|False|True|False|images/set1/Stormdancer.png|1
1-Illusionary Dragon|Illusionary Dragon|None|Unit|6|{P}|False|False|False|True|False|images/set1/Illusionary_Dragon.png|1
1-Spiteling|Spiteling|None|Unit|1|{S}|False|False|False|False|True|images/set1/Spiteling.png|1
1-Vengeful Gargoyle|Vengeful Gargoyle|None|Unit|2|{S}|False|False|False|False|True|images/set1/Vengeful_Gargoyle.png|1
1-Muertis, Pale Rider|Muertis, Pale Rider|None|Unit|4|{S}|False|False|False|False|True|images/set1/Muertis,_Pale_Rider.png|1
1-Occi, Pale Rider|Occi, Pale Rider|None|Unit|4|{S}|False|False|False|False|True|images/set1/Occi,_Pale_Rider.png|1
1-Sangu, Pale Rider|Sangu, Pale Rider|None|Unit|4|{S}|False|False|False|False|True|images/set1/Sangu,_Pale_Rider.png|1
1-Volan, Pale Rider|Volan, Pale Rider|None|Unit|4|{S}|False|False|False|False|True|images/set1/Volan,_Pale_Rider.png|1
1-Direwood Beast|Direwood Beast|None|Unit|5|{S}|False|False|False|False|True|images/set1/Direwood_Beast.png|1
1-Puma|Puma|None|Unit|5|{S}|False|False|False|False|True|images/set1/Puma.png|1
1-The Tormentor|The Tormentor|None|Unit|10|{S}{S}{S}{S}|False|False|False|False|True|images/set1/The_Tormentor.png|1
