6-95|1.0|Heist
6-124|1.0|Roosting Warhawk
6-200|1.0|Gorgon Cutthroat
6-136|1.0|Cobalt Coin
6-166|1.0|Death from Above
6-179|1.0|Snowmass Jotun
6-150|1.0|Fragility
6-148|1.0|Belligerent Yeti
6-10|1.0|Daring Maneuver
6-87|1.0|Tremorshocker
6-110|1.0|Kosul Bladebarrier
6-225|1.0|Direwood Lurker
6-195|1.0|Unchecked Aggression
6-46|1.0|Amber Coin
6-78|1.0|Mute
6-146|1.0|Yeti Bully
6-118|1.0|High Alert
6-91|1.0|Emerald Coin
6-55|1.0|Devotee of the Sands
6-72|1.0|Submerged Titan
6-107|1.0|Auric Lookout
6-66|1.0|Omnivorous Vorlunk
6-119|1.0|Kosul Curator
6-112|1.0|Retribution
6-188|1.0|Vicious Rumors
6-37|1.0|Rallying Sergeant
6-4|1.0|Needlespitter
6-81|1.0|Corrupted Behemoth
6-104|1.0|Steadfast Paladin
6-79|1.0|Sauropod Crasher
6-47|1.0|Arcanum Elite
6-189|1.0|Angry Prophet
6-163|1.0|Yeti Instigator
6-31|1.0|Mining Team
6-1|1.0|Granite Coin
6-26|1.0|Streets Aflame
6-122|1.0|Tauride Test Pilot
6-216|1.0|Stonescar Outfitter
6-170|1.0|Murderous Flock
6-60|1.0|Blink
6-129|1.0|Twin Sai
6-184|1.0|Muck Crawler
6-210|1.0|Razorquill
6-69|1.0|Quicksilver Ooze
6-183|1.0|Boot Knife
6-56|1.0|Displaced Oryctodon
6-205|1.0|Bandit's Flail
6-139|1.0|Furnish
6-182|1.0|Bloodnurse
6-93|1.0|Flash Grenade
6-167|1.0|Elder Meditant
6-12|1.0|Horde Duelist
6-96|1.0|Warfront Missionary
6-172|1.0|Hold Under
6-105|1.0|Svetya's Faithful
6-5|1.0|Oni Patrol
6-3|1.0|Char
6-138|1.0|Fend Off
6-149|1.0|Fledgling Owlet
6-25|1.0|Sizzleback Salamander
6-82|1.0|Horn of Plenty
6-114|1.0|Spellstrike Sorceress
6-181|1.0|Amethyst Coin
6-7|1.0|Blurreechaser
6-2|1.0|Brenn's Scrying
6-23|1.0|Nimble Conscript
6-155|1.0|Camp Surveyor
6-58|1.0|Sudden Stampede
6-50|1.0|Phase Out
6-197|1.0|Crooked Alleyguide
6-224|1.0|Winnow
6-11|1.0|Guns Blazing
6-213|1.0|Eviscerate
6-177|1.0|Diving Pteriax
6-41|1.0|Outdraw
6-15|1.0|Ruins Guide
6-90|1.0|Blurred Stygimoloch
6-212|1.0|Withering Touch
6-230|1.0|Combrei Insignia
6-238|1.0|Seek Answers
6-143|1.0|Swift Refusal
6-176|1.0|Cloudsnake Matriarch
6-94|1.0|Headhunter
6-133|1.0|Valkyrie Accuser
6-140|1.0|Good Idea at the Time
6-185|1.0|Remembrance
6-8|1.0|Cinder Sprite
6-13|1.0|Impatient Pyromage
6-83|1.0|Venomous Mount
6-86|1.0|Refreshing Waters
6-45|1.0|Twinflame
6-161|1.0|Peaktop Trekker
6-232|1.0|Hooru Insignia
6-80|1.0|Temporal Adept
6-214|1.0|Fallen Militiaman
6-160|1.0|Lightning Sprite
6-99|1.0|Pioneering Aviator
6-76|1.0|Trickster Mage
6-108|1.0|Inner Might
6-199|1.0|Death Ripple
6-106|1.0|Touch of Grace
6-228|1.0|Stonescar Insignia
6-211|1.0|Umbren Voidbringer
6-109|1.0|Kemmo's Blueprints
6-194|1.0|Stained Honor
6-97|1.0|Isolate
6-61|1.0|Bulbous Humbug
6-186|1.0|Spiteful Strike
6-173|1.0|Keen Saddleback
6-101|1.0|Reweave
6-201|1.0|Lethrai Direbeast
6-164|1.0|Aggressive Ursine
6-51|1.0|Potion of Alacrity
6-147|1.0|Avalanche Yeti
6-52|1.0|Adolescent Deathjaw
6-127|1.0|Steel Legion
6-63|1.0|Expedition Leader
6-141|1.0|Gustrider
6-145|1.0|Warning Jolt
6-226|1.0|Praxis Insignia
6-192|1.0|Illicit Armament
6-71|1.0|Stillweave Shroud
6-234|1.0|Feln Insignia
6-27|1.0|Tantrum
6-70|1.0|Search Party
6-198|1.0|Darkweave Enchantress
6-20|1.0|Censari Dervish
6-126|1.0|Shieldcrafter
6-153|1.0|Re-read
6-44|1.0|Clan Barracks
6-102|1.0|Silver Shortsword
6-196|1.0|Vizier's Tablet
6-19|1.0|Call to Arms
6-21|1.0|Coverfire Marksman
6-17|1.0|Stronghold Vandal
6-73|1.0|Swirl the Sands
6-191|1.0|Cabal Repeater
6-171|1.0|Ferocity of Bear
6-34|1.0|Combustion Brawler
6-152|1.0|Read the Runes
6-40|1.0|Heretic's Cannon
6-121|1.0|Reclaim
6-132|1.0|Unseen Ghostblade
6-32|1.0|Outlaw Ringleader
6-100|1.0|Relentless Deadshot
6-219|1.0|Wretched Talon
6-190|1.0|Auric Reclaimer
6-18|1.0|Zuberi's Longbow
6-65|1.0|Novice Entomancer
6-158|1.0|Frost Elemental
6-116|1.0|War Wagon
6-137|1.0|Dinomancy Enthusiast
6-221|1.0|Hunting Anoura
6-67|1.0|Patience
6-16|1.0|Slag
6-53|1.0|Burdenbearer Wisp
6-92|1.0|Embargo Officer
6-165|1.0|Bam, Sneakeepeekee
6-227|1.0|East Annex Smuggler
6-178|1.0|Tamarys, Earthshaker
6-22|1.0|Gold Mine
6-48|1.0|Auralian Infestation
6-135|1.0|Secret Weapon
6-130|1.0|Withstand
6-14|1.0|Incendiary Slagmite
6-24|1.0|Quake Titan
6-180|1.0|Terror on the Mountain
6-220|1.0|Hostile Takeover
6-128|1.0|Svetya's Sanctum
6-54|1.0|Cryptic Master
6-154|1.0|Royal Decree
6-231|1.0|Pearl Abbey Smuggler
6-156|1.0|Crashing Avalanche
6-202|1.0|Livia, Hexweaver
6-157|1.0|Eilyn's Sanctum
6-6|1.0|Stonehewer
6-120|1.0|Minotaur Platemaker
6-237|1.0|Evenhanded Golem
6-77|1.0|Ancient Clocktower
6-9|1.0|Clodagh, Loyal Advisor
6-229|1.0|Cen Wastes Smuggler
6-142|1.0|Spy Glass
6-38|1.0|Waystone Elemental
6-223|1.0|Vara's Sanctum
6-187|1.0|Street Urchin
6-206|1.0|Dizo's Racket
